company,title,is_data_job,location_zone,quota,inStudentDraftCount,competition_rate,compensationAmount,compensation_Type,tags,workingCondition,officeName,officeAddressLine1,officeAddressLine2,description,requirements
บริษัท ท็อปกัน จำกัด (JOBTOPGUN),Software Engineer Intern,Yes,✅ BTS,3,11,3.67,10000.0,บาท/เดือน,"Software Engineer, Intern, Golang, Java, Frontend, ReactJS, Backend, NextJS, React-native, FullStack, AI, typescript, React",Hybrid,สำนักงานใหญ่,"172/2 ซอยพานิชกุล ถนนสุขุมวิท 71 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ 10110
",* สามารถขับรถส่วนตัวมาได้ มีที่จอดรถใช้ได้ฟรี // หากเดินทางด้วย BTS ให้ลงสถานีพระโขนง ออกประตูทางออกที่ 3 ลงมาด้านล่างจะเจอวินมอเตอร์ไซต์อยู่ สามารถแจ้งว่าไปบริษัท ท็อปกัน ได้เลย หรือ ถ้าสะดวกสามารถ Grab เข้ามาได้,"At TOPGUN, we are leading the charge in recruitment technology innovation within Thailand. With our suite of products, including consumer platforms JobTopGun , SuperResume , and YouSayHRSay , along with our SaaS solution for recruiters ( SuperRecruit ), you will impact millions of lives. Our mission is to improve how Thai individuals find jobs and how businesses identify top talent, aiming to establish ourselves as a leading tech company in Thailand. Role Overview: As a Software Engineer Intern at TOPGUN, you will develop and enhance our core products. You'll tackle complex engineering and business challenges, ensuring high reliability and high technical quality. This role demands a blend of technical skills and creativity, allowing you to deliver critical information reliably to our users. Our startup culture encourages experimentation with new technologies, providing a dynamic work environment. Responsibilities: Develop new features and improve existing functions across our products. Take part in all phases of the software development lifecycle, from design and development to testing and operations. Involvement in managing complete applications end-to-end, encompassing UI, API, database, and infrastructure. Participate in design and security reviews, aiding in enhancing the quality of our services. Proactively identify and implement necessary changes in your assigned codebase, product areas, and systems. Analyze and optimize efficiency, scalability, and stability across system resource",
บริษัท ไรซ์ คอนซัลติ้ง จำกัด,IT Compliance Consulting Intern,Yes,✅ Siam / Chula,1,6,6.0,6000.0,บาท/เดือน,,Work From Home,Work From Home,"อาคาร เซ็นทรัล ทาวเวอร์ ชั้น 12 ห้อง 1209 เลขที่ 4,4/5 ถนน ราชดำริ แขวง ปทุมวัน เขต ปทุมวัน จังหวัด กรุงเทพมหานคร  10330 
  ",,"สนับสนุนทีมที่ปรึกษาในการ ประเมินความสอดคล้องของระบบ IT ตามมาตรฐาน เช่น ISO 27001, PDPA, NIST CSF ช่วยรวบรวมข้อมูล ตรวจสอบหลักฐาน (evidence) และจัดเตรียมเอกสารประกอบการ audit หรือ gap assessment วิเคราะห์ความเสี่ยงด้าน IT และสรุปประเด็นที่พบจากการตรวจสอบ จัดทำรายงานสรุปผลการประเมิน และช่วยเตรียม Presentation สำหรับเสนอให้ลูกค้า สนับสนุนการจัดทำนโยบาย กระบวนการ (Policy & Procedures) ด้านความปลอดภัยสารสนเทศหรือการกำกับดูแลข้อมูล ประสานงานกับลูกค้าและทีมภายในเพื่อขอข้อมูลหรือเอกสารที่เกี่ยวข้อง อัปเดตข่าวสาร กฎหมาย หรือมาตรฐานด้าน IT Security และ Data Privacy เพื่อสนับสนุนงานที่ปรึกษา งานอื่น ๆ ที่ได้รับมอบหมายในโปรเจคด้าน IT Governance หรือ Cybersecurity",
บริษัท อินโนเวซีฟ จำกัด,Mobile Developer,No,,1,7,7.0,4000.0,บาท/เดือน,"Mobile, Flutter",Work From Home,สำนักงานใหญ่,"อาคาร โครงการ ซิลค์ สุขสวัสดิ์ เลขที่ 162/25 ถนน สุขสวัสดิ์ แขวง ราษฎร์บูรณะ เขต ราษฎร์บูรณะ จังหวัด กรุงเทพมหานคร  10140 
  ",,"- ฝึกการพัฒนาแอปพลิเคชั่นด้วยรูปแบบของ Agile Development โดยจะมีทั้งโปรเจคจำลองที่จะได้ทดลองการทำงานเป็น Mobile Developer ทุกส่วนด้วยตัวเอง - ฝึกวางแผนงาน การออกแบบ การดูแลแอปพลิเคชัน และการสื่อสารระหว่างทีมพัฒนา และจะได้ร่วมพัฒนาโปรเจคที่มีลูกค้าใช้งานจริงกับทางทีมพัฒนาของบริษัท ขอบเขตการฝึกงาน - งานที่ได้รับมอบหมายจะเกี่ยวข้องกับ ตำแหน่ง Mobile Developer เท่านั้น - ฝึกการพัฒนาแอปพลิเคชั่นมือถือด้วย Flutter - ฝึกการจัดการและดูแลโปรเจคด้วย Git - ฝึกการวางแผนงานด้วยโปรแกรม Miro.com , Plane.so",สามารถ Work From Home 100% เงื่อนไขการทำงาน ทำงาน จันทร์ - ศุกร์ เวลา 09:00 - 18:00 น.
บริษัท อินโนเวซีฟ จำกัด,Frontend Developer,No,,2,4,2.0,4000.0,บาท/เดือน,"Frontend, ReactJS",Work From Home,สำนักงานใหญ่,"อาคาร โครงการ ซิลค์ สุขสวัสดิ์ เลขที่ 162/25 ถนน สุขสวัสดิ์ แขวง ราษฎร์บูรณะ เขต ราษฎร์บูรณะ จังหวัด กรุงเทพมหานคร  10140 
  ",,Frontend Developer - ทำงานกับทีมทำงานของบริษัทที่ทำโครงการของลูกค้าจริงๆ แก้ปัญหาจริงๆ ได้เจอสภาวะความกดดันจริงๆ - นักศึกษาจะถูกพัฒนาให้สามารถทำงานได้ในรูปแบบเดียวกับที่พนักงานประจำทำ และสามารถส่งมอบงานที่ได้รับมอบหมายได้ตามกรอบเวลาที่กำหนด อีกทั้งยังต้องมีคุณภาพงานที่ไม่ต่างจากพนักงานประจำ - นักศึกษาจะได้เรียนรู้การเอาตัวรอดในโลกของการทำงานจริงๆ เช่น การทำงานจริงๆต้องมีวิธีการจัดการกับ เวลา อารมณ์ และความเครียด * ทุกสถานการณ์ที่นักศึกษาต้องเจอ จะมีพี่เลี้ยงคอยดูแลอยู่เสมอ พร้อมทั้งให้เทคนิคและวิธีการ เพื่อให้บรรลุเป้าหมายของการฝึกงาน ขอบเขตการฝึกงาน - งานที่ได้รับมอบหมายจะเกี่ยวข้องกับ ตำแหน่ง Frontend Developer เท่านั้น - React/NextJS - Typescript - Figma - Miro,สามารถ Work From Home 100% เงื่อนไขการทำงาน ทำงาน จันทร์ - ศุกร์ เวลา 09:00 - 18:00 น.
บริษัท อินโนเวซีฟ จำกัด,Backend Developer,Yes,,1,3,3.0,4000.0,บาท/เดือน,"Golang, Back-End",Work From Home,สำนักงานใหญ่,"อาคาร โครงการ ซิลค์ สุขสวัสดิ์ เลขที่ 162/25 ถนน สุขสวัสดิ์ แขวง ราษฎร์บูรณะ เขต ราษฎร์บูรณะ จังหวัด กรุงเทพมหานคร  10140 
  ",,"สามารถทำงานตาม task ที่ได้รับมอบหมายได้สำเร็จ 1. ทำ rest api หรือ grpc ตาม design ได้ 2. ออกแบบ database 3. เข้าใจ business domain 4. เข้าใจ hexagonal architecture, clean architecture ขอบเขตการฝึกงาน - งานที่ได้รับมอบหมายจะเกี่ยวข้องกับ ตำแหน่ง Backend Developer เท่านั้น - ภาษา go version >= 1.19 - ใช้ echo เป็น web framework - ใช้ lib sqlx เป็น lib ในการเชื่อมต่อและใช้คำสั่งกับ database https://github.com/jmoiron/sqlx - database ใช้ postgres และ mongo",สามารถ Work From Home 100% เงื่อนไขการทำงาน ทำงาน จันทร์ - ศุกร์ เวลา 09:00 - 18:00 น.
บริษัท ออกซิเจนเอไอ จำกัด,Full Stack Engineer,Yes,✅ Siam / Chula,2,7,3.5,600.0,บาท/วัน,"Golang, Ionic, Angular",On-Site,Vanissa Building,"อาคาร Vanissa Building ชั้น 10 เลขที่ 29 ถนน ชิดลม แขวง ปทุมวัน เขต ลุมพินี จังหวัด กรุงเทพมหานคร  10330 
  ",,"Responsibilities: Writing reusable, testable, and efficient code Designing, developing, and testing UI for mobile and web applications Design and build cross-platform applications using Ionic and Golang with reliability, scalability, and maintainability in mind Gradually develop test scripts to improve software quality and to accelerate deployment processes Collaborate with engineers and product managers to understand the requirements and priorities of the projects Deliver high-quality software with features according to the agreed requirements within the timelines Accurately translate user and business needs into functional and high performance applications","Qualifications & Skills: Bachelor’s degree in Computer Engineering and Computer Science Proficiency in JavaScript and Typescript Proficiency in at least one of these technologies: Angular, Ionic and Golang Experience working with some of the following: web application development, mobile application development, cross-platform application development Basic knowledge of data structures, algorithms, databases, and networking Familiarity with Unix/Linux environment Interest in learning new technologies/frameworks Understand the needs and challenges of working in startup environment"
บริษัท จีเอเบิล จำกัด (มหาชน),Application Developer (ฺBlendata Team),Yes,✅ BTS,2,8,4.0,500.0,บาท/วัน,"Java, Developer, Scala",Hybrid,Blendata (G-Able Group),"ชั้น 6 อาคารเคเอกซ์
110/1 ถนนกรุงธนบุรี
แขวงบางลําภูล่าง เขตคลองสาน
กรุงเทพมหานคร 10600",สามารถเดินทางโดย BTS วงเวียนใหญ่ (ห่างจากอาคาร 400 เมตร เดินได้),"About Us: Join Blendata, a deep tech company and a leading provider of Big Data analytics and Data Lakehouse solutions. We are at the forefront of transforming how businesses harness data, delivering innovative solutions that drive measurable results. Our team thrives on collaboration, technical excellence, and a passion for solving complex problems. Key Responsibilities: Assist in designing and coding Java/Scala-based applications. Collaborate with the development team to test and debug software. Learn to implement best practices for application performance and scalability. Participate in code reviews and knowledge-sharing sessions. Support the maintenance and documentation of existing software. Qualifications: Currently pursuing a degree in Computer Science, Software Engineering, or a related field. Familiarity with programming languages such as Java or Scala. Interest in learning about Big Data and distributed systems. Strong problem-solving and communication skills.",Company: Blendata (G-Able Group) Location: KX Building near BTS Wongwianyai Working hours: 09.00-18.00 Way of working: Hybrid (onsite every friday & Mon-Thu: WFH)
บริษัท จีเอเบิล จำกัด (มหาชน),Data and Analytics Engineer (Blendata Team),Yes,✅ BTS,2,11,5.5,500.0,บาท/วัน,"SQL, Data Engineer, Python",Hybrid,Blendata (G-Able Group),"ชั้น 6 อาคารเคเอกซ์
110/1 ถนนกรุงธนบุรี
แขวงบางลําภูล่าง เขตคลองสาน
กรุงเทพมหานคร 10600",สามารถเดินทางโดย BTS วงเวียนใหญ่ (ห่างจากอาคาร 400 เมตร เดินได้),"About Us: Join Blendata, a deep tech company and a leading provider of Big Data analytics and Data Lakehouse solutions. We are at the forefront of transforming how businesses harness data, delivering innovative solutions that drive measurable results. Our team thrives on collaboration, technical excellence, and a passion for solving complex problems. Key Responsibilities: Assist in designing and developing data pipelines to process large volumes of data. Collaborate with data engineers and scientists to ensure data readiness for analytics. Perform data cleansing, transformation, and quality checks. Learn and apply Big Data tools like Apache Spark and Kafka. Support in maintaining and improving data infrastructure and workflows. Qualifications: Currently pursuing a degree in Computer Science, Data Engineering, or a related field. Familiarity with programming languages such as Python or Java. Basic knowledge of SQL and data modeling concepts. Eagerness to learn Big Data technologies and tools. Strong analytical and problem-solving skills.",Company: Blendata (G-Able Group) Location: KX Building near BTS Wongwianyai Working hours: 09.00-18.00 Way of working: Hybrid (onsite every friday & Mon-Thu: WFH)
บริษัท พรีโมเวิร์ล จำกัด,Software Developer,Yes,✅ BTS,1,4,4.0,500.0,,"Intern, Bangkok, C#, Golang, Java, JavaScript, Frontend, ReactJS, Mobile, iOS, SQL, nodeJS, agile, Backend, golang , Developer, Programmer, React-native, Flutter, web application, startup, FullStack, Python, software development, Back-End, Font-end, html, React",,สำนักงานใหญ่ (สีลม กทม),"บริษัท พรีโมเวิร์ล จำกัด สำนักงานใหญ่ 
34 ชั้นที่ 2 ซอยพิพัฒน์ ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500",อาคารทรินิตี้มอลล์ชั้น 2 เดินทางโดย BTS ลงสถานีช่องนนทรี,"ole overview Work with real startup guru, develop real software Responsibilities Our clients are large famous enterprises Full Stack: mobile application (iOS and Android), web application, back end development, Amazon Web Service Full Stack: select what you like or what you want to gain experience in; Swift, Kotlin, reactnative.js, angular.js, node.js, html 5, java script, SQL database Learn how to work in agile product development process: Scrum and ScrumBan Work in team environment with full-time developers Write Unit Test",ต้องสามารถเข้าฝึกงานไม่น้อยกว่าอาทิตย์ละ 3 วัน
บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),Data Management Intern (SCGP),Yes,✅ MRT,1,9,9.0,500.0,บาท/วัน,"Data Analyst, data analyst, , Data Analytics ",On-Site,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน) สำนักงานใหญ่ ,1 ถนนปูนซิเมนต์ไทย บางซื่อ กรุงเทพฯ 10800,"https://maps.app.goo.gl/h4UpUCPfefKihLW9A 
MRT Bang Sue Station Exit 1 -2","Project : ESG Data Management and AI for ESG Rating Assessment Responsibilities: ESG Data Management : นำข้อมูล ESG จากระบบ SHEKPI (SCGP internal data platform) มาจัดทำเป็น Realtime Dashboard AI for ESG Rating Assessment : นำข้อมูลจาก ESG Rating Questionnaires/ คำตอบที่เคยตอบ/ Gap identification จาก ESG Raters ของ ESG Raters มาจัดเก็บและวิเคราะห์ เพื่อใช้เป็นฐานข้อมูลสำหรับการตอบในปีถัดไป จัดทำ Guideline สำหรับตอบคำถาม ESG Rating (Fiscal Year) โดยใช้ข้อมูลที่เปิดเผยแล้วผ่าน Sustainability Report/ One Report/ Website Guideline ในการปรับปรุงข้อมูล Website เพื่อให้สอดคล้องกับการเปิดเผยข้อมูลตาม Framework/ Stakeholders/ Passive ESG Rating Knowledge, Skills, and Tools Required for the Internship : ESG Data Management: Microsoft Power BI/ SQL Server / AI for ESG Rating Assessment สิ่งที่นักศึกษาจะได้เรียนรู้ : ESG data collecting process เข้าใจกระบวนการเก็บข้อมูล ESG จากหลายแหล่ง (SHEKPI, Sustainability Report, One Report, Website), Data Validation & Consistency Data management for ESG rating assessment เรียนรู้การจัดการข้อมูล ESG เพื่อนำมาใช้ตอบแบบสอบถาม ESG Ratings, ฝึกการใช้ Dashboard / AI tools เพื่อวิเคราะห์ Gap และสร้าง Guideline ESG rating เข้าใจโครงสร้างและความแตกต่างของ ESG Ratings หลัก, และวิธีการเตรียมข้อมูลเพื่อยกระดับผลการประเมิน",
